timestamp,open,high,low,close,volume,quote_volume,trades
2024-12-16 12:00:00,103717.9,103854.8,103555.0,103827.0,1811.023,187807226.7154,34045
2024-12-16 12:05:00,103826.9,104074.7,103816.9,104030.0,2105.839,218901190.8209,29866
2024-12-16 12:10:00,104029.9,104056.3,103925.0,104025.8,671.022,69781159.4879,13644
2024-12-16 12:15:00,104025.8,104112.4,103893.4,103900.0,862.0,89658919.5056,16495
2024-12-16 12:20:00,103900.0,104117.4,103900.0,104076.9,857.258,89206245.3758,11632
2024-12-16 12:25:00,104077.0,104077.0,103696.7,103841.4,1844.087,191482318.774,21622
2024-12-16 12:30:00,103841.4,103920.0,103711.7,103763.3,1223.927,127078649.0362,15747
2024-12-16 12:35:00,103763.4,103841.2,103588.0,103695.0,934.297,96882996.205,16262
2024-12-16 12:40:00,103695.0,103729.4,103523.1,103567.5,672.85,69712647.4346,13417
2024-12-16 12:45:00,103567.4,103608.7,103340.8,103381.3,1712.43,177194880.4884,28009
2024-12-16 12:50:00,103381.2,103650.3,103264.6,103582.5,935.849,96821143.6968,22202
2024-12-16 12:55:00,103582.5,103645.9,103550.0,103604.7,625.651,64818017.718,12427
2024-12-16 13:00:00,103604.8,103694.0,103491.4,103530.8,693.494,71841685.6395,17591
2024-12-16 13:05:00,103530.8,103932.9,103432.1,103877.0,1546.706,160486191.8983,25797
2024-12-16 13:10:00,103877.0,104022.5,103832.6,103980.6,1077.967,112045387.0503,19694
2024-12-16 13:15:00,103980.6,104020.0,103899.4,103939.2,651.712,67743273.8523,12508
2024-12-16 13:20:00,103939.2,104096.5,103867.0,104085.0,709.861,73843357.5227,14390
2024-12-16 13:25:00,104084.9,104090.0,103934.6,104015.6,694.613,72253920.7671,11881
2024-12-16 13:30:00,104015.5,104049.0,103915.7,103943.0,428.002,44505312.173,9230
2024-12-16 13:35:00,103942.9,103943.0,103704.8,103774.3,825.817,85721347.4869,13501
2024-12-16 13:40:00,103774.3,104021.9,103774.2,103905.8,652.637,67829236.9654,10689
2024-12-16 13:45:00,103905.9,103988.1,103800.0,103811.8,391.681,40686566.8545,10542
2024-12-16 13:50:00,103811.8,103850.0,103709.5,103780.0,716.889,74385496.2807,10408
2024-12-16 13:55:00,103780.1,103910.5,103750.0,103859.6,277.686,28839967.9665,7133
2024-12-16 14:00:00,103859.6,104041.4,103832.8,104019.3,645.923,67152797.356,12808
2024-12-16 14:05:00,104019.2,104179.0,103999.5,104114.7,885.472,92167823.0052,15302
2024-12-16 14:10:00,104114.7,104220.0,104100.0,104155.9,830.014,86453616.5076,12536
2024-12-16 14:15:00,104155.9,104263.5,104100.0,104203.4,717.058,74711308.4658,10858
2024-12-16 14:20:00,104203.4,104230.0,104121.0,104149.7,617.146,64292100.4506,12236
2024-12-16 14:25:00,104149.7,104339.3,104132.8,104339.2,1020.483,106416166.2254,14879
2024-12-16 14:30:00,104339.3,104576.0,104284.6,104480.2,1884.578,196855334.0427,34135
2024-12-16 14:35:00,104480.4,105205.0,104450.0,105175.1,4373.424,458885547.7315,69198
2024-12-16 14:40:00,105175.0,105338.7,105053.2,105331.9,2469.818,259781599.8561,42304
2024-12-16 14:45:00,105332.0,105874.3,105236.8,105793.7,4937.518,521667713.0692,82736
2024-12-16 14:50:00,105793.8,105985.6,105503.0,105738.1,3101.123,327927067.3105,59369
2024-12-16 14:55:00,105738.2,105852.1,105065.0,105453.9,3595.857,378943595.3541,58952
