timestamp,price,quantity
1734367110894,0.0234634,600.0
1734367110900,0.0234627,828.0
1734367110900,0.023462,210505.0
1734367110909,0.0234612,401.0
1734367110911,0.023461,1300.0
1734367111016,0.0234609,23031.0
1734367111017,0.0234605,214.0
1734367111017,0.0234602,927.0
1734367111088,0.02346,424.0
1734367111108,0.0234597,1226.0
1734367111188,0.0234597,8038.0
1734367111215,0.0234596,81350.0
1734367111425,0.0234597,42277.0
1734367111442,0.0234603,1018.0
1734367111505,0.0234612,723.0
1734367111505,0.0234618,214.0
1734367111505,0.0234622,214.0
1734367111505,0.0234626,427.0
1734367111505,0.0234627,615.0
1734367111505,0.0234632,641.0
1734367111505,0.0234633,41229.0
1734367111505,0.0234636,214.0
1734367111509,0.0234638,424.0
1734367111509,0.0234639,92902.0
1734367111509,0.0234641,265131.0
1734367111509,0.0234642,401.0
1734367111509,0.0234648,2092.0
1734367111509,0.0234649,2285.0
1734367111509,0.023465,92902.0
1734367111509,0.0234655,4262.0
1734367111509,0.0234656,828.0
1734367111509,0.0234657,704.0
1734367111509,0.0234659,11529.0
1734367111511,0.0234661,4261.0
1734367111511,0.0234662,4253.0
1734367111511,0.0234663,77955.0
1734367111513,0.023467,2092.0
1734367111513,0.0234671,36224.0
1734367111529,0.0234674,30848.0
1734367111529,0.0234677,427.0
1734367111529,0.023468,343.0
1734367111533,0.0234637,20970.0
1734367111533,0.0234632,39601.0
1734367111533,0.023463,1041.0
1734367111533,0.0234619,1175.0
1734367111539,0.0234662,92408.0
1734367111549,0.0234682,214.0
1734367111549,0.0234684,1786.0
1734367111651,0.0234686,401.0
1734367111744,0.023469,18292.0
1734367111744,0.0234685,2085.0
1734367110894,0.0234634,600.0
1734367110900,0.0234627,828.0
1734367110900,0.023462,210505.0
1734367110909,0.0234612,401.0
1734367110911,0.023461,1300.0
1734367111016,0.0234609,23031.0
1734367111017,0.0234605,214.0
1734367111017,0.0234602,927.0
1734367111088,0.02346,424.0
1734367111108,0.0234597,1226.0
1734367111188,0.0234597,8038.0
1734367111215,0.0234596,81350.0
1734367111425,0.0234597,42277.0
1734367111442,0.0234603,1018.0
1734367111505,0.0234612,723.0
1734367111505,0.0234618,214.0
1734367111505,0.0234622,214.0
1734367111505,0.0234626,427.0
1734367111505,0.0234627,615.0
1734367111505,0.0234632,641.0
1734367111505,0.0234633,41229.0
1734367111505,0.0234636,214.0
1734367111509,0.0234638,424.0
1734367111509,0.0234639,92902.0
1734367111509,0.0234641,265131.0
1734367111509,0.0234642,401.0
1734367111509,0.0234648,2092.0
1734367111509,0.0234649,2285.0
1734367111509,0.023465,92902.0
1734367111509,0.0234655,4262.0
1734367111509,0.0234656,828.0
1734367111509,0.0234657,704.0
1734367111509,0.0234659,11529.0
1734367111511,0.0234661,4261.0
1734367111511,0.0234662,4253.0
1734367111511,0.0234663,77955.0
1734367111513,0.023467,2092.0
1734367111513,0.0234671,36224.0
1734367111529,0.0234674,30848.0
1734367111529,0.0234677,427.0
1734367111529,0.023468,343.0
1734367111533,0.0234637,20970.0
1734367111533,0.0234632,39601.0
1734367111533,0.023463,1041.0
1734367111533,0.0234619,1175.0
1734367111539,0.0234662,92408.0
1734367111549,0.0234682,214.0
1734367111549,0.0234684,1786.0
1734367111651,0.0234686,401.0
1734367111744,0.023469,18292.0
1734367111744,0.0234685,2085.0
1734367111744,0.0234683,2285.0
1734367111836,0.0234682,2117.0
1734367111744,0.0234683,2285.0
1734367111836,0.0234682,2117.0
1734367112122,0.0234681,7560.0
1734367112128,0.0234671,401.0
1734367112143,0.0234662,19383.0
1734367112178,0.0234656,401.0
1734367112269,0.0234651,427.0
1734367112269,0.0234647,214.0
1734367112269,0.0234643,108680.0
1734367112275,0.0234642,401.0
1734367112277,0.0234638,427.0
1734367112286,0.0234637,500.0
1734367112309,0.0234629,427.0
1734367112312,0.0234627,401.0
1734367112460,0.023462,745.0
1734367112856,0.0234619,121996.0
1734367112950,0.0234613,2780.0
1734367112122,0.0234681,7560.0
1734367112128,0.0234671,401.0
1734367112143,0.0234662,19383.0
1734367112178,0.0234656,401.0
1734367112269,0.0234651,427.0
